@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
13,12,31,13,13,1,E
13,13,31,12,7,7,N
13,12,31,13,7,5,S
13,11,31,13,7,4,S
13,10,31,13,8,2,S
13,9,31,5,8,9,S
13,8,31,5,9,9,S
13,9,31,5,8,9,N
13,8,31,6,8,7,S
12,8,31,5,8,7,W
11,8,31,6,8,5,W
10,8,31,6,7,5,W
10,7,31,7,7,3,S
9,7,31,7,6,3,W
9,6,31,7,6,2,S
8,6,31,6,6,2,W
7,6,31,6,6,1,W
6,6,31,7,10,5,W
6,7,31,7,10,4,N
6,8,31,7,10,3,N
6,9,31,8,10,3,N
6,10,27,9,10,3,N
7,10,31,8,10,1,E
