@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
14,6,15,19,4,7,1,3,29,19,S,358
15,6,3,19,5,5,1,3,29,19,E,357
16,6,3,20,5,5,1,3,29,19,E,356
17,6,7,20,4,5,1,3,29,19,E,355
18,6,7,19,4,3,1,3,29,19,E,354
19,6,7,19,4,2,1,3,29,19,E,353
19,5,15,18,4,2,1,3,29,19,S,352
19,4,15,18,4,1,1,3,29,19,S,551
18,4,15,23,7,9,1,3,29,19,W,550
18,5,15,24,7,7,1,3,29,19,N,549
18,6,7,24,6,5,1,3,29,19,N,548
19,6,7,23,6,3,1,3,29,19,E,547
20,6,7,22,6,1,1,3,29,19,N,547
1,18,5,5,9,13,1,3,29,19,S,-1
1,17,12,5,9,12,1,3,29,19,S,-2
1,16,13,5,8,12,1,3,29,19,S,-3
1,15,13,5,9,10,1,3,29,19,S,-4
1,14,13,5,9,9,1,3,29,19,S,-5
1,13,12,5,10,7,1,3,29,19,S,-6
1,12,13,4,10,5,1,3,29,19,S,-7
1,11,12,5,10,5,1,3,29,19,S,-8
1,10,12,5,9,5,1,3,29,19,S,-9
1,9,12,4,9,3,1,3,29,19,S,-10
1,8,12,5,9,5,1,3,29,19,S,-11
1,7,12,2,3,5,1,3,29,19,S,-12
1,6,13,3,3,5,1,3,29,19,S,-13
2,6,7,3,4,3,1,3,29,19,E,-14
3,6,15,4,4,3,1,3,29,19,E,-15
4,6,15,7,6,2,1,3,29,19,E,-16
5,6,15,6,7,2,1,3,29,19,E,-17
5,7,15,6,6,2,1,3,29,19,N,-18
6,7,14,6,8,1,1,3,29,19,E,181
6,8,14,7,6,3,1,3,29,19,N,180
6,7,14,7,6,2,1,3,29,19,S,179
6,6,11,5,6,1,1,3,29,19,S,378
5,6,15,6,3,4,1,3,29,19,W,377
5,5,14,6,3,3,1,3,29,19,S,376
5,4,14,7,3,3,1,3,29,19,S,375
5,3,11,6,3,1,1,3,29,19,S,574
6,3,3,9,4,4,1,3,29,19,E,573
7,3,3,10,4,4,1,3,29,19,E,572
8,3,11,10,3,2,1,3,29,19,N,572
9,1,3,9,7,6,1,3,19,12,E,99
8,1,3,8,7,6,1,3,19,12,W,198
7,1,3,7,7,6,1,3,19,12,W,297
6,1,9,8,7,8,1,3,19,12,W,396
